student_id,attendance,participation,homework_scores,final_exam_score
1,88,37,72,31
2,78,7,59,83
3,64,53,53,31
4,92,36,61,32
5,57,90,91,85
6,70,91,66,40
7,88,39,82,61
8,68,33,42,33
9,72,95,63,38
10,60,78,69,85
11,60,16,47,45
12,73,32,61,100
13,85,46,64,39
14,89,51,99,65
15,73,79,49,53
16,52,92,88,93
17,71,8,68,85
18,51,32,79,51
19,73,59,93,81
20,93,92,40,79
21,79,76,91,76
22,87,20,60,52
23,51,57,78,48
24,70,84,63,81
25,82,68,48,63
26,61,9,99,58
27,71,5,83,90
28,93,12,93,64
29,74,64,65,34
30,98,19,48,36
31,76,56,59,70
32,91,45,95,31
33,77,7,74,39
34,65,9,75,73
35,64,72,81,99
36,96,66,75,64
37,100,10,93,91
38,93,11,48,49
39,52,9,61,64
40,86,24,40,66
41,100,48,44,83
42,56,48,48,57
43,70,88,76,99
44,58,10,77,61
45,88,61,58,40
46,67,35,47,71
47,53,38,81,52
48,74,52,82,59
49,63,89,71,38
50,99,77,52,88
51,58,55,59,57
52,75,0,75,62
53,51,55,82,76
54,69,3,83,51
55,77,29,76,58
56,96,11,69,63
57,56,34,49,71
58,93,76,70,81
59,57,51,64,76
60,96,30,68,80
61,84,86,63,74
62,63,67,78,63
63,66,51,60,50
64,85,79,80,42
65,99,6,48,83
66,89,21,81,54
67,53,92,81,50
68,51,74,41,30
69,55,55,43,87
70,91,96,47,98
71,53,57,71,100
72,78,92,100,42
73,67,63,53,81
74,75,11,88,52
75,93,6,52,50
76,83,54,60,35
77,59,61,63,49
78,85,89,89,69
79,63,72,57,38
80,80,97,84,79
81,97,76,79,57
82,64,54,65,40
83,57,35,71,85
84,63,88,83,64
85,72,23,96,54
86,89,43,94,48
87,70,16,95,60
88,65,1,92,79
89,94,12,72,92
90,67,30,91,76
91,96,92,70,30
92,73,27,57,87
93,75,59,74,39
94,74,26,51,37
95,94,14,90,55
96,90,94,64,63
97,78,78,84,48
98,64,32,70,30
99,94,19,49,77
100,50,41,86,54
101,74,11,91,53
102,56,100,73,76
103,58,72,90,98
104,73,22,42,96
105,50,71,85,61
106,93,95,78,46
107,57,13,47,90
108,73,90,100,98
109,60,24,71,40
110,100,76,82,67
111,66,84,68,97
112,57,30,61,48
113,84,100,59,46
114,84,53,45,42
115,82,4,100,30
116,54,12,82,31
117,91,27,88,95
118,88,42,68,97
119,90,88,81,45
120,77,98,95,33
121,56,46,56,86
122,58,70,70,52
123,57,37,92,31
124,61,95,73,96
125,83,66,77,55
126,82,61,96,36
127,97,38,76,73
128,72,36,43,62
129,73,85,41,93
130,86,7,51,65
131,84,80,74,33
132,93,51,45,52
133,89,90,95,54
134,71,32,85,56
135,76,80,47,80
136,84,41,60,98
137,50,75,92,52
138,84,26,97,38
139,86,7,85,62
140,96,22,100,64
141,63,63,74,79
142,52,92,87,53
143,50,19,54,53
144,54,15,46,48
145,75,16,54,68
146,63,79,84,90
147,88,18,45,54
148,76,7,86,54
149,58,37,56,56
150,64,37,43,61
151,64,52,61,40
152,75,92,71,98
153,91,99,98,62
154,62,89,61,48
155,100,30,66,45
156,81,43,85,40
157,88,59,54,98
158,98,75,99,84
159,81,16,83,54
160,53,78,90,63
